acteurs,date,desciption,durée,genre,nbr_eposodes,nbr_saison,nbr_votants,score,titre_original
Rocky,120,1976,8.1,595K,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama,Sport","Sylvester Stallone,Talia Shire,Burt Young",,
Hotel Rwanda,121,2004,8.1,361K,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography,Drama,History","Don Cheadle,Sophie Okonedo,Joaquin Phoenix",,
Ford v Ferrari,152,2019,8.1,413K,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Action,Biography,Drama","Matt Damon,Christian Bale,Jon Bernthal",,
The Passion of Joan of Arc,114,1928,8.2,57K,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography,Drama,History","Maria Falconetti,Eugene Silvain,André Berley",,
Tokyo Story,136,1953,8.2,64K,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura",,
The Big Lebowski,117,1998,8.1,823K,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Comedy,Crime","Jeff Bridges,John Goodman,Julianne Moore",,
Room,118,2015,8.1,430K,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama,Thriller","Brie Larson,Jacob Tremblay,Sean Bridgers",,
Jaws,124,1975,8.1,620K,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure,Mystery,Thriller","Roy Scheider,Robert Shaw,Richard Dreyfuss",,
Dead Poets Society,128,1989,8.1,506K,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Comedy,Drama","Robin Williams,Robert Sean Leonard,Ethan Hawke",,
"Monsters, Inc.",92,2001,8.1,927K,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Animation,Adventure,Comedy","Pete Docter,Jill Culton,Jeff Pidgeon",,
How to Train Your Dragon,98,2010,8.1,757K,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation,Action,Adventure","Will Davies,Dean DeBlois,Chris Sanders",,
The Seventh Seal,96,1957,8.1,189K,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Drama,Fantasy","Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",,
Mary and Max,92,2009,8.1,180K,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Animation,Comedy,Drama","Toni Collette,Philip Seymour Hoffman,Eric Bana",,
Mad Max: Fury Road,120,2015,8.1,1M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.","Action,Adventure,Sci-Fi","Tom Hardy,Charlize Theron,Nicholas Hoult",,
Mr. Smith Goes to Washington,129,1939,8.1,117K,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","Comedy,Drama","James Stewart,Jean Arthur,Claude Rains",,
Sherlock Jr.,45,1924,8.2,52K,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action,Comedy,Romance","Buster Keaton,Kathryn McGuire,Joe Keaton",,
Wild Tales,122,2014,8.1,204K,Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy,Drama,Thriller","Darío Grandinetti,María Marull,Mónica Villa",,
Memories of Murder,132,2003,8.1,194K,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime,Drama,Mystery","Song Kang-ho,Kim Sang-kyung,Roe-ha Kim",,
The Wages of Fear,131,1953,8.2,63K,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure,Drama,Thriller","Yves Montand,Charles Vanel,Peter van Eyck",,
Hacksaw Ridge,139,2016,8.1,544K,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Biography,Drama,History","Andrew Garfield,Sam Worthington,Luke Bracey",,
The Third Man,93,1949,8.1,175K,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir,Mystery,Thriller","Graham Greene,Orson Welles,Alexander Korda",,
The Deer Hunter,183,1978,8.1,345K,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama,War","Michael Cimino,Deric Washburn,Louis Garfinkle",,
In the Name of the Father,133,1993,8.1,179K,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography,Crime,Drama","Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",,
Barry Lyndon,185,1975,8.1,173K,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure,Drama,War","Ryan O'Neal,Marisa Berenson,Patrick Magee",,
The General,67,1926,8.1,93K,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Action,Adventure,Comedy","Buster Keaton,Clyde Bruckman,Al Boasberg",,
Wild Strawberries,91,1957,8.1,109K,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama,Romance","Victor Sjöström,Bibi Andersson,Ingrid Thulin",,
Gone Girl,149,2014,8.1,1M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama,Mystery,Thriller","Ben Affleck,Rosamund Pike,Neil Patrick Harris",,
The Grand Budapest Hotel,99,2014,8.1,832K,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure,Comedy,Crime","Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",,
On the Waterfront,108,1954,8.1,158K,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","Crime,Drama,Thriller","Marlon Brando,Karl Malden,Lee J. Cobb",,
Ben-Hur,212,1959,8.1,244K,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Adventure,Drama","Lew Wallace,Karl Tunberg,Gore Vidal",,
12 Years a Slave,134,2013,8.1,713K,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Biography,Drama,History","Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",,
Before Sunrise,101,1995,8.1,318K,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama,Romance","Ethan Hawke,Julie Delpy,Andrea Eckert",,
Harry Potter and the Deathly Hallows: Part 2,130,2011,8.1,895K,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure,Family,Fantasy","Daniel Radcliffe,Emma Watson,Rupert Grint",,
Klaus,96,2019,8.2,165K,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation,Adventure,Comedy","Jason Schwartzman,J.K. Simmons,Rashida Jones",,
The Gold Rush,95,1925,8.1,113K,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure,Comedy,Drama","Charles Chaplin,Mack Swain,Tom Murray",,
Blade Runner,117,1982,8.1,784K,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Action,Drama,Sci-Fi","Harrison Ford,Rutger Hauer,Sean Young",,
Children of Heaven,89,1997,8.2,76K,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Drama,Family,Sport","Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",,
Million Dollar Baby,132,2004,8.1,697K,A determined woman works with a hardened boxing trainer to become a professional.,"Drama,Sport","Hilary Swank,Clint Eastwood,Morgan Freeman",,
My Neighbor Totoro,86,1988,8.1,350K,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation,Comedy,Family","Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",,
Catch Me If You Can,141,2002,8.1,1M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography,Crime,Drama","Leonardo DiCaprio,Tom Hanks,Christopher Walken",,
John Wick: Chapter 4,169,2023,8.2,119K,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Action,Crime,Thriller","Keanu Reeves,Laurence Fishburne,George Georgiou",,
Gran Torino,116,2008,8.1,786K,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Drama,"Clint Eastwood,Bee Vang,Christopher Carley",,
Warrior,140,2011,8.2,480K,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Action,Drama,Sport","Tom Hardy,Nick Nolte,Joel Edgerton",,
Fargo,98,1996,8.1,690K,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime,Thriller","William H. Macy,Frances McDormand,Steve Buscemi",,
Prisoners,153,2013,8.1,739K,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime,Drama,Mystery","Hugh Jackman,Jake Gyllenhaal,Viola Davis",,
The Bridge on the River Kwai,161,1957,8.1,225K,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Adventure,Drama,War","William Holden,Alec Guinness,Jack Hawkins",,
Trainspotting,93,1996,8.1,698K,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",,
"Three Billboards Outside Ebbing, Missouri",115,2017,8.1,523K,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Comedy,Crime,Drama","Frances McDormand,Woody Harrelson,Sam Rockwell",,
Howl's Moving Castle,119,2004,8.2,408K,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation,Adventure,Family","Chieko Baisho,Takuya Kimura,Tatsuya Gashûin",,
The Secret in Their Eyes,129,2009,8.2,213K,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Drama,Mystery,Romance","Ricardo Darín,Soledad Villamil,Pablo Rago",,
